Nume,Andrei
Prima masurare a emotiilor
Vinovat,10.0
Ingrijorat,8.0
Furios,10.0
Descurajat,10.0
Trist,10.0

A doua masurare a emotiile
Vinovat,3.0
Ingrijorat,3.0
Furios,3.0
Descurajat,4.0
Trist,2.0



Rezultate formulare

Primul formular

Intrebare,Raspunsul subiectului
Descriere,Acceasta este descrierea primului quiz. Trebuie sa fie neaparat pe o sigura linie. Foloseste sublime text (editor) cu Word Wrap setat la False. View->Word Wrap
aci este prima intrebare,aici sunt
aici este a doua intrebare,aici sunt
aici este a treia intrebare,aici sunt
aici este a patra intrebare,aici sunt
si tot asa,aici sunt

Descriere,Acceasta este descrierea celui de-al doilea quiz. Quizurile sunte separate de catre o linie goala
aci este prima intrebare,aici sunt
aici este a doua intrebare,aici sunt
aici este a treia intrebare,aici sunt
aici este a patra intrebare,aici sunt
si tot asa,aici sunt

Descriere,Acceasta este descrierea celui de-al doilea quiz. Quizurile sunte separate de catre o linie goala
aci este prima intrebare,aici sunt
aici este a doua intrebare,aici sunt
aici este a treia intrebare,aici sunt
aici este a patra intrebare,aici sunt
si tot asa,aici sunt
++++++++ la sfarsitul fisierului trebuie neaparat sa fie doua linii goale,aici sunt


Al doilea formular

Intrebare,Raspunsul subiectului
Descriere,Acceasta este descrierea primului quiz. Trebuie sa fie neaparat pe o sigura linie. Foloseste sublime text (editor) cu Word Wrap setat la False. View->Word Wrap
aci este prima intrebare,optiunuile
aici este a doua intrebare,optiunuile
aici este a treia intrebare,optiunuile
aici este a patra intrebare,optiunuile
si tot asa,optiunuile

Descriere,Acceasta este descrierea celui de-al doilea quiz. Quizurile sunte separate de catre o linie goala
aci este prima intrebare,optiunuile
aici este a doua intrebare,optiunuile
aici este a treia intrebare,optiunuile
aici este a patra intrebare,optiunuile
si tot asa,optiunuile

Descriere,Acceasta este descrierea celui de-al doilea quiz. Quizurile sunte separate de catre o linie goala
aci este prima intrebare,optiunuile
aici este a doua intrebare,optiunuile
aici este a treia intrebare,optiunuile
aici este a patra intrebare,optiunuile
si tot asa,optiunuile
++++++++ la sfarsitul fisierului trebuie neaparat sa fie doua linii goale,optiunuile


Anagrame

Timpul petrecut la ultima anagrama,0
Anagrama,Raspunsul corect,Raspunsul subiectului
aano,oana,oana
ndirea,andrei,>> skipped <<
rectoc,corect,>> skipped <<
