Nume,andrei
Nivel de stres initial,10.0
Nivel de stres dupa test,10.0


Rezultate formulare

Primul formular

Intrebare,Raspunsul subiectului
Descriere,This is a very nice quiz that you will take to make yourself usefull once in a while
Interesat(ă),foarte putin sau deloc
Distres,foarte putin sau deloc
Emoționat(ă),foarte putin sau deloc


Al doilea formular

Intrebare,Raspunsul subiectului
Descriere,This is a very nice quiz that you will take to make yourself usefull once in a while
Interesat(ă),foarte putin sau deloc
Distres,foarte putin sau deloc
Emoționat(ă),foarte putin sau deloc


Anagrame

Timpul petrecut la ultima anagrama,10
Anagrama,Raspunsul corect,Raspunsul subiectului
aano,oana,>> skipped <<
ndirea,andrei,>> skipped <<
